Campaign,Ad Group,Keyword,Criterion Type,Status,Max CPC,Final URL
PMK | Search | Futbol Clubes | CL,AG1 | Camisetas futbol personalizadas,camisetas de futbol personalizadas,Exact,Enabled,600,https://playmaker.cl/16-futbol
PMK | Search | Futbol Clubes | CL,AG1 | Camisetas futbol personalizadas,camisetas personalizadas para equipo,Phrase,Enabled,600,https://playmaker.cl/16-futbol
PMK | Search | Futbol Clubes | CL,AG2 | Uniformes y equipamiento de club,uniformes de futbol personalizados,Exact,Enabled,600,https://playmaker.cl/16-futbol
PMK | Search | Futbol Clubes | CL,AG2 | Uniformes y equipamiento de club,uniformes deportivos personalizados,Exact,Enabled,600,https://playmaker.cl/16-futbol
PMK | Search | Futbol Clubes | CL,AG2 | Uniformes y equipamiento de club,equipacion de futbol personalizada,Exact,Enabled,600,https://playmaker.cl/16-futbol
PMK | Search | Futbol Clubes | CL,AG2 | Uniformes y equipamiento de club,uniformes para club de futbol,Exact,Enabled,600,https://playmaker.cl/16-futbol
PMK | Search | Futbol Clubes | CL,AG2 | Uniformes y equipamiento de club,ropa deportiva personalizada,Exact,Enabled,600,https://playmaker.cl/16-futbol
PMK | Search | Futbol Clubes | CL,AG2 | Uniformes y equipamiento de club,indumentaria deportiva personalizada,Exact,Enabled,600,https://playmaker.cl/16-futbol
PMK | Search | Futbol Clubes | CL,AG2 | Uniformes y equipamiento de club,uniformes de futbol para equipos,Exact,Enabled,600,https://playmaker.cl/16-futbol
PMK | Search | Futbol Clubes | CL,AG2 | Uniformes y equipamiento de club,uniformes de futbol personalizados chile,Phrase,Enabled,600,https://playmaker.cl/16-futbol
PMK | Search | Futbol Clubes | CL,AG2 | Uniformes y equipamiento de club,uniformes deportivos para clubes,Phrase,Enabled,600,https://playmaker.cl/16-futbol
PMK | Search | Futbol Clubes | CL,AG2 | Uniformes y equipamiento de club,kit completo de futbol personalizado,Phrase,Enabled,600,https://playmaker.cl/16-futbol
PMK | Search | Futbol Clubes | CL,AG2 | Uniformes y equipamiento de club,conjunto de futbol personalizado,Phrase,Enabled,600,https://playmaker.cl/16-futbol
PMK | Search | Futbol Clubes | CL,AG2 | Uniformes y equipamiento de club,uniformes para academia de futbol,Phrase,Enabled,600,https://playmaker.cl/16-futbol
PMK | Search | Futbol Clubes | CL,AG2 | Uniformes y equipamiento de club,equipamiento deportivo para clubes,Phrase,Enabled,600,https://playmaker.cl/16-futbol
PMK | Search | Futbol Clubes | CL,AG2 | Uniformes y equipamiento de club,salida de cancha personalizada,Phrase,Enabled,600,https://playmaker.cl/16-futbol
PMK | Search | Futbol Clubes | CL,AG2 | Uniformes y equipamiento de club,buzos deportivos personalizados,Phrase,Enabled,600,https://playmaker.cl/16-futbol
PMK | Search | Futbol Clubes | CL,AG3 | Sublimacion y confeccion deportiva,sublimacion deportiva,Exact,Enabled,550,https://playmaker.cl/10-deportes
PMK | Search | Futbol Clubes | CL,AG3 | Sublimacion y confeccion deportiva,ropa deportiva sublimada,Exact,Enabled,550,https://playmaker.cl/10-deportes
PMK | Search | Futbol Clubes | CL,AG3 | Sublimacion y confeccion deportiva,confeccion de ropa deportiva,Exact,Enabled,550,https://playmaker.cl/10-deportes
PMK | Search | Futbol Clubes | CL,AG3 | Sublimacion y confeccion deportiva,fabrica de ropa deportiva,Exact,Enabled,550,https://playmaker.cl/10-deportes
PMK | Search | Futbol Clubes | CL,AG3 | Sublimacion y confeccion deportiva,fabrica de camisetas deportivas,Exact,Enabled,550,https://playmaker.cl/10-deportes
PMK | Search | Futbol Clubes | CL,AG3 | Sublimacion y confeccion deportiva,ropa deportiva al por mayor,Exact,Enabled,550,https://playmaker.cl/10-deportes
PMK | Search | Futbol Clubes | CL,AG3 | Sublimacion y confeccion deportiva,sublimacion de camisetas deportivas,Phrase,Enabled,550,https://playmaker.cl/10-deportes
PMK | Search | Futbol Clubes | CL,AG3 | Sublimacion y confeccion deportiva,fabrica de ropa deportiva chile,Phrase,Enabled,550,https://playmaker.cl/10-deportes
PMK | Search | Futbol Clubes | CL,AG3 | Sublimacion y confeccion deportiva,fabricante de ropa deportiva,Phrase,Enabled,550,https://playmaker.cl/10-deportes
PMK | Search | Futbol Clubes | CL,AG3 | Sublimacion y confeccion deportiva,proveedor de ropa deportiva,Phrase,Enabled,550,https://playmaker.cl/10-deportes
PMK | Search | Futbol Clubes | CL,AG3 | Sublimacion y confeccion deportiva,camisetas deportivas por mayor,Phrase,Enabled,550,https://playmaker.cl/10-deportes
PMK | Search | Futbol Clubes | CL,AG3 | Sublimacion y confeccion deportiva,confeccion de camisetas deportivas,Phrase,Enabled,550,https://playmaker.cl/10-deportes
PMK | Search | Futbol Clubes | CL,AG3 | Sublimacion y confeccion deportiva,ropa deportiva personalizada por mayor,Phrase,Enabled,550,https://playmaker.cl/10-deportes
PMK | Search | Futbol Clubes | CL,AG4 | Colegios e instituciones,uniformes deportivos para colegios,Exact,Enabled,600,https://playmaker.cl/54-instituciones
PMK | Search | Futbol Clubes | CL,AG4 | Colegios e instituciones,ropa deportiva para colegios,Exact,Enabled,600,https://playmaker.cl/54-instituciones
PMK | Search | Futbol Clubes | CL,AG4 | Colegios e instituciones,buzos deportivos para colegios,Exact,Enabled,600,https://playmaker.cl/54-instituciones
PMK | Search | Futbol Clubes | CL,AG4 | Colegios e instituciones,uniformes deportivos escolares,Exact,Enabled,600,https://playmaker.cl/54-instituciones
PMK | Search | Futbol Clubes | CL,AG4 | Colegios e instituciones,uniformes deportivos para colegios chile,Phrase,Enabled,600,https://playmaker.cl/54-instituciones
PMK | Search | Futbol Clubes | CL,AG4 | Colegios e instituciones,ropa deportiva institucional,Phrase,Enabled,600,https://playmaker.cl/54-instituciones
PMK | Search | Futbol Clubes | CL,AG4 | Colegios e instituciones,uniformes deportivos para universidades,Phrase,Enabled,600,https://playmaker.cl/54-instituciones
PMK | Search | Futbol Clubes | CL,AG4 | Colegios e instituciones,camisetas deportivas para colegios,Phrase,Enabled,600,https://playmaker.cl/54-instituciones
PMK | Search | Futbol Clubes | CL,AG4 | Colegios e instituciones,uniforme educacion fisica personalizado,Phrase,Enabled,600,https://playmaker.cl/54-instituciones
PMK | Search | Futbol Clubes | CL,AG4 | Colegios e instituciones,polera deportiva para colegio,Phrase,Enabled,600,https://playmaker.cl/54-instituciones
PMK | Search | Marca | CL,AG5 | Marca Playmaker,playmaker,Exact,Enabled,250,https://playmaker.cl/
PMK | Search | Marca | CL,AG5 | Marca Playmaker,playmaker chile,Exact,Enabled,250,https://playmaker.cl/
PMK | Search | Marca | CL,AG5 | Marca Playmaker,playmaker cl,Exact,Enabled,250,https://playmaker.cl/
PMK | Search | Marca | CL,AG5 | Marca Playmaker,camisetas playmaker,Exact,Enabled,250,https://playmaker.cl/
PMK | Search | Marca | CL,AG5 | Marca Playmaker,playmaker deportes,Phrase,Enabled,250,https://playmaker.cl/
PMK | Search | Marca | CL,AG5 | Marca Playmaker,playmaker camisetas,Phrase,Enabled,250,https://playmaker.cl/
PMK | Search | Marca | CL,AG5 | Marca Playmaker,playmaker uniformes,Phrase,Enabled,250,https://playmaker.cl/
